"kingdom" "phylum" "class" "order" "family" "genus" "binomial" "statut" "category" "code" "name" "stressCode" "stressName" "scope" "severity" "timing" "threat"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "SOLENODONTIDAE" "Solenodon" "Solenodon paradoxus" "endemic" "LC" "5.3.5" "Motivation Unknown/Unrecorded" "1.2" "Ecosystem degradation" "Majority (50-90%)" "Unknown" "Ongoing" "Biological resource use"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "SOLENODONTIDAE" "Solenodon" "Solenodon paradoxus" "endemic" "LC" "5.1.3" "Persecution/control" "2.1" "Species mortality" "Minority (<50%)" "Negligible declines" "Ongoing" "Biological resource use"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "SOLENODONTIDAE" "Solenodon" "Solenodon paradoxus" "endemic" "LC" "8.1.2" "Named species" "2.1" "Species mortality" "Whole (>90%)" "Negligible declines" "Ongoing" "Invasive and other problematic species/genes/diseases"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "SOLENODONTIDAE" "Solenodon" "Solenodon paradoxus" "endemic" "LC" "2.1.2" "Small-holder farming" "" "" "Majority (50-90%)" "Unknown" "Ongoing" "Agriculture and aquaculture"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "TALPIDAE" "Euroscaptor" "Euroscaptor mizura" "endemic" "LC" "2.1.4" "Scale Unknown/Unrecorded" "1.1|1.2" "Ecosystem conversion|Ecosystem degradation" "" "" "Ongoing" "Agriculture and aquaculture"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "TALPIDAE" "Mogera" "Mogera wogura" "endemic" "LC" NA NA NA NA NA NA NA NA
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "TALPIDAE" "Mogera" "Mogera imaizumii" "endemic" "LC" NA NA NA NA NA NA NA NA
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "TALPIDAE" "Mogera" "Mogera tokudae" "endemic" "NT" "2.1.4" "Scale Unknown/Unrecorded" "1.1|1.2" "Ecosystem conversion|Ecosystem degradation" "" "" "Ongoing" "Agriculture and aquaculture"
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "TALPIDAE" "Urotrichus" "Urotrichus talpoides" "endemic" "LC" NA NA NA NA NA NA NA NA
"ANIMALIA" "CHORDATA" "MAMMALIA" "EULIPOTYPHLA" "TALPIDAE" "Dymecodon" "Dymecodon pilirostris" "endemic" "LC" NA NA NA NA NA NA NA NA
