kingdom	phylum	class	order	family	genus	binomial	statut	category	populationTrend	code	name	Occurs in at least one protected area	Note
ANIMALIA	CHORDATA	MAMMALIA	DIPROTODONTIA	POTOROIDAE	Bettongia	Bettongia gaimardi	endemic	NT	Unknown	4.3	Awareness & communications		
ANIMALIA	CHORDATA	MAMMALIA	DIPROTODONTIA	POTOROIDAE	Bettongia	Bettongia gaimardi	endemic	NT	Unknown	2.1	Site/area management		
ANIMALIA	CHORDATA	MAMMALIA	DIPROTODONTIA	POTOROIDAE	Bettongia	Bettongia gaimardi	endemic	NT	Unknown	3.2	Species recovery		
ANIMALIA	CHORDATA	MAMMALIA	DIPROTODONTIA	POTOROIDAE	Bettongia	Bettongia gaimardi	endemic	NT	Unknown	3.3.1	Reintroduction		
ANIMALIA	CHORDATA	MAMMALIA	DIPROTODONTIA	POTOROIDAE	Bettongia	Bettongia gaimardi	endemic	NT	Unknown	5.1.2	National level		
ANIMALIA	CHORDATA	MAMMALIA	DIPROTODONTIA	POTOROIDAE	Bettongia	Bettongia gaimardi	endemic	NT	Unknown	5.1.3	Sub-national level		
ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Boneia	Boneia bidens	endemic	VU	Decreasing	2.1	Site/area management		
ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Boneia	Boneia bidens	endemic	VU	Decreasing	3.1.2	Trade management		
ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Boneia	Boneia bidens	endemic	VU	Decreasing	3.1.1	Harvest management		
ANIMALIA	CHORDATA	MAMMALIA	RODENTIA	ECHIMYIDAE	Boromys	Boromys offella	endemic	EX		NA	NA		
ANIMALIA	CHORDATA	MAMMALIA	RODENTIA	ECHIMYIDAE	Boromys	Boromys torrei	endemic	EX		NA	NA		
ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PHYLLOSTOMIDAE	Brachyphylla	Brachyphylla cavernarum	endemic	LC	Unknown	NA	NA		
ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PHYLLOSTOMIDAE	Brachyphylla	Brachyphylla nana	endemic	LC	Stable	NA	NA		
ANIMALIA	CHORDATA	MAMMALIA	RODENTIA	NESOMYIDAE	Brachytarsomys	Brachytarsomys albicauda	endemic	LC	Unknown	2.1	Site/area management		
ANIMALIA	CHORDATA	MAMMALIA	RODENTIA	NESOMYIDAE	Brachytarsomys	Brachytarsomys villosa	endemic	VU	Unknown	2.1	Site/area management		
ANIMALIA	CHORDATA	MAMMALIA	RODENTIA	NESOMYIDAE	Brachytarsomys	Brachytarsomys villosa	endemic	VU	Unknown	1.1	Site/area protection		
ANIMALIA	CHORDATA	MAMMALIA	RODENTIA	NESOMYIDAE	Brachytarsomys	Brachytarsomys villosa	endemic	VU	Unknown	4.3	Awareness & communications		
ANIMALIA	CHORDATA	MAMMALIA	RODENTIA	NESOMYIDAE	Brachyuromys	Brachyuromys betsileoensis	endemic	LC	Unknown	4.3	Awareness & communications		
